Site,Habitat,Species,Count
1,EDGE,Species 20,4
1,EDGE,Species 7,2
1,EDGE,Species 4,2
1,EDGE,Species 16,1
1,EDGE,Species 3,1
1,EDGE,Species 5,2
1,EDGE,Species 13,1
1,EDGE,Species 26,1
1,EDGE,Species 23,1
1,EDGE,Species 14,4
1,EDGE,Species 12,2
1,EDGE,Species 29,3
1,EDGE,Species 25,2
1,EDGE,Species 15,1
1,EDGE,Species 28,1
1,INT,Species 2,2
1,INT,Species 11,3
1,INT,Species 26,2
1,INT,Species 20,3
1,INT,Species 5,1
1,INT,Species 10,1
1,INT,Species 25,3
1,int,Species 6,1
1,INT,Species 14,1
1,INT,Species 19,2
1,INT,Species 13,1
1,INT,Species 7,1
1,INT,Species 30,1
1,INT,Species 9,1
1,INT,Species 1,1
1,INT,Species 17,3
1,INT,Species 18,1
1,MAT, Species 9,1
1,MAT,Species 17,2
1,MAT,Species 18,1
1,MAT,Species 16,3
1,MAT,Species 23,1
1,MAT,Species 21,1
1,MAT,Species 1,1
1,MAT,Species 19,1
1,MAT,Species 5,2
1,MAT,Species 30,1
1,MAT,Species 4,5
1,MAT,Species 2,1
1,MAT,Species 10,3
1,MAT,Species 27,3
1,MAT,Species 11,2
1,MAT,Species 24,4
1,MAT,Species 26,1
1,MAT,Species 28,1
1,MAT,Species 29,2
1,MAT,Species 20,3
2,EDGE,Species 12,2
2,EDGE,Species 13,3
2,EDGE,Species 8,1
2,EDGE,Species 30,1
2,EDGE,Species 14,2
2,EDGE,Species 7,1
2,EDGE,Species 22,2
2,EDGE,Species 1,5
2,EDGE,Species 19,1
2,EDGE,Species 29,3
2,EDGE,Species 21,2
2,EDGE,Species 24,1
2,EDGE,Species 25,1
2,EDGE,Species 27,1
2,EDGE,Species 23,1
2,EDGE,Species 3,1
2,EDGE,Species 10,1
2,EDGE,Species 5,1
2,EDGE,Species 16,2
2,INT,Species 30,5
2,INT,Species 17,1
2,INT,Species 26,1
2,INT,Species 22,1
2,INT,Species 15,1
2,INT,Species 27,1
2,INT,Species 12,1
2,INT,Species 19,1
2,INT,Species 11,1
2,INT,Species 29,1
2,INT,Species 23,1
2,INT,Species 13,1
2,INT,Species 3,3
2,INT,Species 2,1
2,MAT,Species 11,3
2,MAT,Species 27,1
2,MAT,Species 20,1
2,MAT,Species 18,1
2,MAT,Species 5,1
2,MAT,Species 24,1
2,MAT,Species 23,5
